Time (s),Amplitude
0.0,0.0
4e-09,6.802924449505488e-06
8e-09,2.7211332545598417e-05
1.2000000000000002e-08,6.122412854680185e-05
1.6e-08,0.00010883948626996568
2e-08,0.00017005484916923167
2.4000000000000003e-08,0.0002448669304465801
2.8000000000000003e-08,0.0003332717131939528
3.2e-08,0.0004352644505669483
3.6000000000000005e-08,0.0005508396659900807
4e-08,0.0006799911533935937
4.4000000000000004e-08,0.0008227119774818229
4.8000000000000006e-08,0.000978994474033089
5.2e-08,0.0011488302502311192
5.6000000000000005e-08,0.0013322101850279757
6.000000000000001e-08,0.0015291244295384766
6.4e-08,0.001739562407466101
6.8e-08,0.0019635128155603494
7.200000000000001e-08,0.0022009636241055526
7.6e-08,0.002451902077441095
8e-08,0.002716314694513052
8.400000000000001e-08,0.002994187269457196
8.800000000000001e-08,0.003285504872213359
9.2e-08,0.0035902518491711336
9.600000000000001e-08,0.003908411823846868
1.0000000000000001e-07,0.004239967697591942
1.04e-07,0.0045849016503322956
1.08e-07,0.004943195141339162
1.1200000000000001e-07,0.005314828910031009
1.16e-07,0.0056997829768066
1.2000000000000002e-07,0.006098036643909215
1.24e-07,0.006509568496321921
1.28e-07,0.006934356402693917
1.3200000000000002e-07,0.007372377516297872
1.36e-07,0.00782360827601823
1.4e-07,0.008288024407370479
1.4400000000000002e-07,0.008765600923551265
1.48e-07,0.009256312126519377
1.52e-07,0.009760131608107556
1.5600000000000002e-07,0.010277032251165004
1.6e-07,0.010806986230730647
1.64e-07,0.01134996501523708
1.6800000000000002e-07,0.011905939367745049
1.72e-07,0.012474879347208586
1.7600000000000001e-07,0.013056754309770607
1.8000000000000002e-07,0.013651532910088955
1.84e-07,0.014259183102692904
1.8800000000000002e-07,0.01487967214336997
1.9200000000000003e-07,0.015512966590583021
1.96e-07,0.016159032306917624
2.0000000000000002e-07,0.016817834460559608
2.04e-07,0.01748933752680267
2.08e-07,0.018173505289586115
2.1200000000000002e-07,0.018870300843062512
2.16e-07,0.01957968659319534
2.2e-07,0.020301624259386503
2.2400000000000002e-07,0.021036074876133563
2.28e-07,0.02178299879471679
2.32e-07,0.022542355684915846
2.3600000000000002e-07,0.023314104536756034
2.4000000000000003e-07,0.0240982036622841
2.44e-07,0.024894610697373473
2.48e-07,0.025703282603558874
2.5200000000000003e-07,0.026524175669900233
2.56e-07,0.027357245514875835
2.6e-07,0.028202447088304574
2.6400000000000003e-07,0.029059734673297356
2.68e-07,0.029929061888237383
2.72e-07,0.030810381688789443
2.7600000000000004e-07,0.03170364636993801
2.8e-07,0.03260880756805397
2.84e-07,0.03352581626299021
2.8800000000000004e-07,0.034454622780205627
2.92e-07,0.035395176792917614
2.96e-07,0.03634742732428312
3.0000000000000004e-07,0.03731132274960783
3.04e-07,0.03828681079858356
3.08e-07,0.039273838557554064
3.1200000000000004e-07,0.040272352471808485
3.16e-07,0.04128229834790301
3.2e-07,0.0423036213560103
3.2400000000000004e-07,0.04333626603229672
3.28e-07,0.04438017628132709
3.32e-07,0.04543529537849713
3.3600000000000004e-07,0.04650156597249341
3.4000000000000003e-07,0.04757893008778039
3.44e-07,0.048667329127115036
3.4800000000000005e-07,0.04976670387408847
3.5200000000000003e-07,0.05087699449569451
3.56e-07,0.05199814054492547
3.6000000000000005e-07,0.05313008096339451
3.6400000000000003e-07,0.054272754083984964
3.68e-07,0.05542609763352603
3.7200000000000005e-07,0.056590048735495266
3.7600000000000003e-07,0.05776454391274726
3.8e-07,0.05894951909026873
3.8400000000000005e-07,0.06014490959795976
3.8800000000000003e-07,0.061350650173441046
3.92e-07,0.06256667496488728
3.96e-07,0.0637929175338862
4.0000000000000003e-07,0.06502931085832342
4.04e-07,0.06627578733529277
4.08e-07,0.06753227878403244
4.1200000000000004e-07,0.06879871644888617
4.16e-07,0.07007503100228965
4.2e-07,0.07136115254778239
4.2400000000000004e-07,0.07265701062304433
4.28e-07,0.07396253420295733
4.32e-07,0.07527765170269149
4.3600000000000004e-07,0.07660229098081624
4.4e-07,0.07793637934243546
4.44e-07,0.07927984354234746
4.4800000000000004e-07,0.08063260978822921
4.52e-07,0.08199460374384417
4.56e-07,0.08336575053227463
4.6000000000000004e-07,0.08474597473917765
4.64e-07,0.0861352004160648
4.68e-07,0.08753335108360558
4.7200000000000004e-07,0.08894034973495385
4.7600000000000003e-07,0.09035611883909826
4.800000000000001e-07,0.09178058034423534
4.84e-07,0.09321365568116573
4.88e-07,0.09465526576671349
4.92e-07,0.096105331007168
4.96e-07,0.09756377130174852
5.000000000000001e-07,0.09903050604609132
5.040000000000001e-07,0.10050545413575887
5.08e-07,0.10198853396977181
5.12e-07,0.10347966345416222
5.16e-07,0.10497876000554937
5.2e-07,0.10648574055473692
5.24e-07,0.10800052155033193
5.280000000000001e-07,0.10952301896238535
5.32e-07,0.1110531482860533
5.36e-07,0.11259082454528051
5.4e-07,0.11413596229650379
5.44e-07,0.11568847563237698
5.48e-07,0.11724827818551642
5.520000000000001e-07,0.11881528313226693
5.560000000000001e-07,0.12038940319648811
5.6e-07,0.12197055065336139
5.64e-07,0.1235586373332166
5.68e-07,0.12515357462537863
5.72e-07,0.12675527348203403
5.760000000000001e-07,0.1283636444221173
5.800000000000001e-07,0.12997859753521623
5.84e-07,0.13160004248549698
5.88e-07,0.13322788851564818
5.92e-07,0.13486204445084393
5.96e-07,0.13650241870272561
6.000000000000001e-07,0.13814891927340264
6.040000000000001e-07,0.13980145375947112
6.08e-07,0.14145992935605164
6.12e-07,0.1431242528608447
6.16e-07,0.14479433067820413
